Brand,Title,Product_Url,Average_rating,Product_Code,Reviews,Selling_Price,Orginal_Price,Discount,Sales_Status,Composition
FatFace,Cotton Rich Velvet Funnel Neck Pyjama Top,https://www.marksandspencer.com/cotton-rich-velvet-funnel-neck-pyjama-top/p/clp22567951#intid=pid_pg1pip48g2r18c1,5,T835679W,1,36.5,36.5,0,,"75% cotton, 25% polyester"
Autograph,Lexington Lace Cami Set,https://www.marksandspencer.com/lexington-lace-cami-set/p/clp60548367#intid=pid_pg1pip48g2r18c2,4,T815034C,6,35,35,0,,"Top - 77% polyester, 19% polyamide and 4% elastane (exclusive of trimmings), Bottom - 100% polyester, Gusset (of underwear) - 100% cotton"
FatFace,Velvet Pyjama Bottoms,https://www.marksandspencer.com/velvet-pyjama-bottoms/p/clp22567952#intid=pid_pg1pip48g2r19c1,0,T835699W,,34.5,34.5,0,,"75% cotton, 25% polyester"
M&S Collection,Cat Print Short Nightdress,https://www.marksandspencer.com/cool-comfort-cat-print-short-nightdress/p/clp60623143#intid=pid_pg1pip48g2r19c2,3.67,T373268M,12,15,15,0,,"50% modal, 50% cotton (exclsuive of trimmings)"
M&S Collection,Cotton Blend Fairisle Waffle Pyjama Set,https://www.marksandspencer.com/cotton-blend-fair-isle-pyjama-set/p/clp60626111#intid=pid_pg1pip48g2r20c1,0,T371432J,,25,25,0,,"50% cotton, 50% polyester (exclusive of trimmings)"
FatFace,Fleece Longline Hoodie,https://www.marksandspencer.com/fleece-longline-hoodie/p/clp22570214#intid=pid_pg1pip48g2r20c2,0,T835458W,,46.5,46.5,0,,100% polyester
M&S Collection,Cotton Rich Cat Print Short Nightdress,https://www.marksandspencer.com/cotton-rich-cat-print-short-nightdress/p/clp60628343#intid=pid_pg1pip48g2r21c1,0,T373285M,,12,12,0,,"99% cotton, 1% viscose (exclusive of trimmings)"
M&S Collection,Dream Satin™ Heart Print Pyjama Set,https://www.marksandspencer.com/dream-satin-heart-print-pyjama-set/p/clp60624328#intid=pid_pg1pip48g2r21c2,0,T371402J,,30,30,0,,100% polyester (exclusive of trimmings)
M&S Collection,Women's Mono Check Family Christmas Short Nightshirt,https://www.marksandspencer.com/pure-cotton-checked-short-nightshirt/p/clp60632706#intid=pid_pg1pip48g2r22c1,0,T373298M,,20,20,0,,100% cotton (exclusive of trimmings)
M&S Collection,Borg Half Zip Hoodie,https://www.marksandspencer.com/borg-half-zip-hoodie/p/clp60623935#intid=pid_pg1pip48g2r22c2,5,T372481G,4,28,28,0,,"100% polyester (exclusive of trimmings), Pocketing (pocket fabric composition) - 100% polyester"
M&S Collection,Dream Satin™ Star Print Pyjama Set,https://www.marksandspencer.com/dream-satin-star-print-pyjama-set/p/clp60624329#intid=pid_pg1pip48g2r23c1,0,T371401J,,30,30,0,,100% polyester (exclusive of trimmings)
Body,Star Print Short Nightdress,https://www.marksandspencer.com/cool-comfort-star-print-short-nightdress/p/clp60617854#intid=pid_pg1pip48g2r23c2,5,T373265M,5,15,15,0,,"50% cotton, 50% modal (exclusive of trimmings)"
M&S Collection,Women's Checked Family Christmas Pyjama Set,https://www.marksandspencer.com/cotton-rich-fa-la-la-slogan-pyjama-set/p/clp60624268#intid=pid_pg1pip48g2r24c1,0,T371400J,,22,22,0,,"Top - 98% cotton, 2% viscose (exclusive of trimmings), Bottom - 100% cotton (exclusive of trimmings)"
Body,Checked Short Nightshirt,https://www.marksandspencer.com/cool-comfort-checked-short-nightshirt/p/clp60617857#intid=pid_pg1pip48g2r24c2,3.67,T373264M,3,20,20,0,,100% cotton (exclusive of trimmings)
